heroic verse	ሉዓላዊ ቋንቋ
heightened language	ግነት ዘይቤ
Hyperbole F.L	
I	
idyll	አገር ቤቴ ግጥም
image	ምስል
imagery	ምሰላዊ
images poetry	ምናባዊ ሰነ-ግጥም
imagination	ምናብ
inflated metaphor	ግንኛ ተለዋዋጭ
innuendo F.L	ሰላቅ ዘይቤ
invective	የግል ጥላቻ ሂስ
irony F.L	ምፀት ዘይቤ
J	
jargon	ጥኑን ቋንቋ
L  	
lament	የሀዘን እንጉርሮ ግጥም
legal repetition	ሕጋዊ ድግግሞሽ (ቃላት፤ስንኛ)
line	የስንኛ ዘለላ
lyric-poem	መውድስ ግጥም
M	
metaphor ( F.L.)	ተለዋጭ ዘይቤ
meters	ሰንኛ ምጣኔ (በቀለማት)
muse	የድርሰት አድባር
N	
narrative verse	ተራኪ ግጥም
O	
occasional verse	ሰለምንተ ግጥም
octave	ባለ 8 ሰንኛ አነጎ
ode	ሰለኔ ግጥም
onomatopoeia F.L	ድምፀ-ቀድ ዘይቤ
P 	
paradox F.L	አያዋ ዘይቤ
parody	ኮርጆ መቀለድ
personification F.L	ሰውኛ ዘይቤ
poem	ግጥም
poet  	ገጣሚ፤ባለቅኔ
poetic diction	ባለቅኔ የሚጠቀምበት ቋንቋ
poetic justice	የሥነ-ግጥም ፍትኀ
poetic language	ቅኔያዊ ቋንቋ
poetic license	የገጣሚ ነፃነት
poetry 	ሥነ-ግጥም
pun	ሕብራዊ አነጋገር
Q	
quintain (L)	ባለ 5 ሰንኛ አንጎ
R	
recite	መደርደር፤መቀኛት (በቃል)
refrain	አዝማች
rhyme	ቤት መታ
rhyming verse	ቤት የሚመታ ሰንኛ
Rhythm	ዜማ
S	
sarcasm	ተረበኛ ብሂል
satirical verse	ሰላቃዊ ግጥም
sextet	ባለ 6 ሰንኛ ዘይቤ
simile F.L	ተነፃፃሪ ዘይቤ
sonnet	ማኀሌት
stanza	አንጎ
stream of consciousness	ተመስጦ ልቦና
stress	ማጥበቅ፤መርገጥ (ቀነማትን)
strophe	የግጥምአንፃር
symbol F.l	ተምሳሌት ዘይቤ
T  	
tenor	እሚገለጠው ነገር
triplet	ባለ 3 ሰንኛ አንጎ
U	
unique connotation	ዉሱን ፍካሬያዊ ፍቺ
universal connotation	ሁሉን አቀፍ ፍካሬያዊ ፍቺ
universal symbol	ሁሉን አቀፍ ተምሳሌት
unstressed syllable	ሳድስ ሆሄያት
V	
verse	ስንኛ
verse paragraph	የስድ ግጥም አንጎ አስተኔ
versification	አሰነኛኘት
Translation terms	
የትርጉም ሙያዊ  ቃላት	
A	
adaptation	አዛማጅ፤ስርስ ትርጉም
C	
central meaning	ዋናው ፍቺ
colloquial expression	መንደርተኛ አነጋገር
communication	ተግባብ
context	ዐውደ ንባብ
contextual conditioning	ዐውዳዊ ጥላል
contextual consistency	ዐውዳዊ ጽናት
cultural context	ባሕላዊ ዐውድ
cultural focus	ባሕላዊ ንፃሬ
cultural translation	ባሕላዊ ትርጉም
culture-Bound translation	ጽንፈ ባህል ትርጉም
cultural translation	ባሕላዊ ትርጉም
culture- Bound translation	ጽንፈ ባህል ትርጉም
D	
decoding	ቅበላ
discourse	ድርሳን
dynamic equivalence	ይዘት አካል
E	
encoding	ቀረፃ
endocentric expression	ውስጣዊ አበር
explication	ማብራራት
F	
faithful translation	እሙን ትርጉም
free translation	ልቅ፤ ነፃ ትርጉም
H	
honorific	ቃለ-አክብሮት
I	
implicit information	ውስጠቅ
indirect discourse	ኢርቱዕ ጥቅሻ
intelligibility	ድርስ
interpret and justify	መተርጎም ማቃናት
interpretation	ትርጎሜ
interpreter	ሰማ በለው፤ቱርጁማን፤አስተርጎሚ
L	
literal translation	ጥብቅ ፤ጥሬ (ትርጉም )
literalness	ጥሬነት
loan-word	የትውስት ቃል
M	
meaning	ፍቺ
N	
natural language	አገርኛቋንቋ 
nomenclature	መሪሃ ቃላት
P	
poetic speech	የረቀቀ ንግግር
producer language	ፍልቅ አንጋሪ
receptive language	መጥለፊያ ቋንቋ
referential meaning 	ዝምዳዊ ፍቺ
rhetorical question	ጥዩቅ
S	
semotactic context	ፍቻይ ዐውድ
situation levels of language	ቤተኛ ቋንቋ 
source language	መገኛቋንቋ
syllable	ክፍለ-ቃል
syntactic context	አገባባዊ አውድ
syntax	አገባብ
T	
technical term, terminology	ሙያዊ ቃል
translation  	ሌጣ ትርጉም
translator	ተረጓሚ
V	
verbatim et litratim[L]	ቃል ለቃልና ሆሄ ለሆሄ
ORAL LITERATURE -ሥነ-ቃል	
	
A	
adventure	ጀብዱ
allegory	ተረታዊ ምሳሌ
anecdote	አስደሳች ትርክት
animal tales	አእንሰሴ ትረቶች 
annals	ዜና ታሪኮች
C	
carry-over	የቆየ ባሕል
chronicle	ዜና መዋእል
codex	ጥንታዊ ፅሑፍ
culture	ባሕል
custom	ልማድ
D	
dilemma tale	ወስዋሴ ተረት
dilemma tale	ወስዋሴ ተረት
F	
fable, Folklore	ተረት
fairy tale	አድባሬ ተረት
fantasy	እልም አስተኔ
fascinating	አስደሳች ትርክት
folk song	ባሕላዊ ዘፈን
H	
homily	ድርሳን 
I	
idyll	ገፅ-ባላገር ትርክት 
illusion	ምትሃት
J	
joke	ቀልድ
legend	አፈ-ታሪክ 
local legend	መካን በቀል አፈ-ታሪክ 
M	
material culture	ቁሳዊ ባሕል 
merry tale	ደሴ ተረት 
migratory legend	ተዛማች አፈ-ታሪክ 
mythology	ሥነ-ሐተታ አማልክት 
N	
Noodle story, numskull	ሞኜ ተረት
Norm	ተለምዶ 
o	
observances	አክብሮተ-ልማዶች
p	
parable	ምሳሌ
performing folk art	ባሕላዊ ኪነት 
proverb	ተረትና ምሣሌ
puzzle	ዶቅማ 
R	
raconteur {F}	ተራኪ ሰው 
riddle	እንቆቅልሽ 
rite	የባሕላዊ አምልኮ ሥርዓት 
s	
social folk custom	ማኅበራዊ ልማድ 
superstition	አምልኮት 
T	
tale	ተረት ተረት 
tradition	ትውፊት 
W	
war-song	ሽለላ 
Non Fiction  ኢ-ልቦለድ 	
A	
Action report 	የድርጊት መዘርዝር 
Analysis  	ትንታኔ 
Annual report 	ዓመታዊ ዘገባ 
Applied research 	ተግባራዊ ምርምር 
Avant-propos (f)	ኔበንተኔ (ሰ.መ)÷ የራስ የሕይወት ታሪክ መቅድማዊ ክፍል 
B	
Biography 	በንተሱ (ሰ.መ)÷ የሕይወት ታሪክ 
Biography 	በንተሱ (ሰ.መ) ÷ የሕይወት ታሪክ 
C	
Chrestomathy 	የተወጣጡ ጽሑፎች 
Critical review 	ትችታዊ ሐተታ 
Critical tone 	ትችታዊ ድምጸት 
D	
Data 	መረጃ 
Data collection 	መረጃ አሰባሰብ 
Deductive 	ዝርዝር
Descriptive research 	ገላጭ ምርምር 
Dispatch 	ደብዳቤ አስተኔ 
Documents 	መዛግብት 
Documents analysis 	መዛግብት መተንተን 
E	
End matter 	የመጨረሻ ክፍል 
Essay writing 	የወግ ÷ የሐተታ (ጽሑፍ) 
Experience and sensitivity 	ገጠመኝና ዝንባሌ
Experience narrative 	የገጠመኝ ጽሑፍ 
F 	
form report 	ቅዕ መዘርዝር 
formal report 	መደበኛ መዘርዝር 
Formal tone 	መደበኛ ድምጸት 
H 	
Historical research 	ታሪካዊ ምርምር 
